id,own_car,own_realty,num_children,income,days_birth,days_employed,work_phone,phone,email,fam_members,gender_m,income_type_pensioner,income_type_state_servant,income_type_student,income_type_working,education_type_higher_education,education_type_incomplete_higher,education_type_lower_secondary,education_type_secondary,family_status_married,family_status_separated,family_status_single,family_status_widow,housing_type_hose/apartment,housing_type_municipal_apartment,housing_type_office_apartment,housing_type_rented_apartment,housing_type_with_parents,occupation_type_cleaning_staff,occupation_type_cooking_staff,occupation_type_core_staff,occupation_type_drivers,occupation_type_high_skill_tech_staff,occupation_type_hr_staff,occupation_type_it_staff,occupation_type_laborers,occupation_type_low-skill_laborers,occupation_type_managers,occupation_type_medicine_staff,occupation_type_private_service_staff,occupation_type_realty_agents,occupation_type_sales_staff,occupation_type_secretaries,occupation_type_security_staff,occupation_type_undefined,occupation_type_waiters/barmen_staff,bad_client
5008804,1,1,0,2.1798204040429776,0.9541247481616155,-0.4691808664274179,1,0,0,2.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
5008806,1,1,0,-0.6814968864831925,-1.308473601326652,-0.44462222913429705,0,0,0,2.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
5008808,0,1,0,0.7491617587798927,-0.7436005948644844,-0.45843646261167753,0,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
5008812,0,1,0,0.8717896426595857,-1.5450320938806055,2.195553784815743,0,0,0,1.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
5008815,1,1,0,0.7491617587798927,-0.20883503290918368,-0.4419919760204505,1,1,1,2.0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5008819,1,1,0,-0.4771170800170375,-0.42532189579189256,-0.4450545995091759,0,0,0,2.0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
5008825,1,0,0,-0.5179930413102686,1.2733592391233144,-0.44439883777394296,0,0,0,2.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
5008826,1,0,0,-0.5179930413102686,1.2733592391233144,-0.44439883777394296,0,0,0,2.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5008830,0,1,0,-0.2727372735508825,1.4258080454358621,-0.4470362970607042,0,1,0,2.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
5008831,0,1,0,-0.2727372735508825,1.4258080454358621,-0.4470362970607042,0,1,0,2.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
5008834,0,1,1,-0.6814968864831925,1.201913795412575,-0.448124429170816,0,0,0,2.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
5008836,1,1,3,0.7491617587798927,0.7906843351243387,-0.4448312081488218,0,0,0,5.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
5008838,0,1,1,1.9754405975768228,0.993073267642721,-0.4509780736450167,0,0,0,3.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
5008844,1,1,0,-0.6814968864831925,-1.0762161722736796,-0.4685178985192703,0,1,0,2.0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5008854,1,1,2,-0.4771170800170375,0.05663616429025292,-0.4593156157072646,0,0,0,4.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
5008868,0,1,1,0.21777426196788957,-0.05112937120654808,-0.48760705057017323,0,0,0,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5008872,1,1,0,1.5666809846445127,-0.16056754250928612,-0.47510434056325873,0,1,0,2.0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
5008873,0,1,2,-0.5588690026034995,0.857111871417267,-0.4492269736267572,0,0,1,4.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
5008878,0,1,2,-0.5588690026034995,0.857111871417267,-0.4492269736267572,0,0,1,4.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
5008884,0,1,0,1.1579213717122028,-1.0007086130342357,2.195553784815743,0,0,0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
5008888,0,1,0,0.5447819523137376,-0.24324354091703146,-0.4461571439651171,0,0,0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5008891,0,1,0,0.9944175265392786,0.1144615735812193,-0.4597551922550581,0,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
5008922,0,1,0,0.9944175265392786,0.1144615735812193,-0.4597551922550581,0,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
5008942,0,0,0,-0.2727372735508825,0.5629669175446239,-0.4713715429934709,0,1,0,2.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
5008943,0,0,0,-0.2727372735508825,0.5629669175446239,-0.4713715429934709,0,1,0,2.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5008947,0,1,0,-0.4771170800170375,0.12282475261090453,-0.4465967205129106,1,1,0,2.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
