,id,gender,car,realty,cnt_children,income,income_type,education_type,fam_status,housing_type,mobile_phone,work_phone,phone,email,job_title,cnt_fam_members,age,work_experience,bad_debt,good_debt,status
19327,5116472,m,1,1,0,168750,working,secondary,married,house,1,0,0,0,laborers,2,44,5,3,28,1
2257,5022936,f,1,0,0,202500,commercial_associate,incomplete_higher,separated,house,1,0,1,1,accountants,1,39,4,0,7,1
551,5009768,m,0,0,0,135000,working,secondary,separated,house,1,0,0,0,laborers,1,39,9,0,20,1
13860,5089789,f,0,1,0,126000,working,secondary,separated,house,1,1,1,0,cleaning_staff,1,60,4,0,41,1
12481,5078867,f,0,0,2,135000,working,secondary,married,with_parents,1,0,0,0,core_staff,4,31,5,0,39,1
10222,5062610,f,0,0,1,135000,commercial_associate,secondary,separated,house,1,0,0,0,private_service_staff,2,30,8,0,4,1
17174,5105629,m,1,0,2,382500,commercial_associate,higher_education,married,house,1,1,0,0,managers,4,32,8,0,28,1
4485,5029607,f,1,1,0,180000,commercial_associate,higher_education,single,house,1,0,0,0,core_staff,1,42,20,0,32,1
5007,5035817,f,0,1,0,157500,working,secondary,civil_marriage,house,1,0,0,0,sales_staff,2,49,3,0,9,1
4640,5033441,f,0,0,0,135000,state_servant,secondary,married,house,1,0,0,0,cooking_staff,2,42,8,0,33,1
7748,5050618,m,1,0,0,90000,working,secondary,single,house,1,0,0,0,drivers,1,47,26,0,5,1
148,5009006,m,0,1,0,166500,working,secondary,married,house,1,1,1,0,laborers,2,52,18,0,11,1
5785,5041124,f,0,1,0,225000,commercial_associate,higher_education,single,house,1,0,0,0,core_staff,1,47,2,0,48,1
24156,5148595,m,1,1,0,180000,working,secondary,married,house,1,0,0,0,drivers,2,40,5,0,16,1
11569,5068303,f,0,1,1,135000,working,higher_education,civil_marriage,house,1,0,0,1,core_staff,3,27,1,0,6,1
14307,5090745,m,1,1,0,225000,working,incomplete_higher,married,house,1,0,0,0,laborers,2,33,5,0,20,1
23260,5142830,f,0,0,0,157500,commercial_associate,secondary,married,house,1,0,0,0,cooking_staff,2,47,9,0,11,1
8031,5051190,m,1,0,2,171000,working,higher_education,married,house,1,0,0,0,laborers,4,28,3,0,12,1
